date,title,review,rating,username,helpful_votes,review_length,platform,language,location,version,verified_purchase
06-06-2025,I think ai should have a continuous,"If AI were to achieve continuous learning, it would have significant implications for its capabilities and potential. Continuous learning refers to the ability of an AI system to learn and adapt over time, incorporating new information and experiences into its existing knowledge base.

With continuous learning, AI systems could become more flexible, adaptable, and efficient in acquiring new skills and knowledge. They would be able to update their understanding of the world, adapt to changing circumstances, and improve their performance over time. Continuous learning could also enable AI systems to discover new patterns, make more accurate predictions, and develop a deeper understanding of complex phenomena.

However, it's important to note that the development and implementation of continuous learning in AI systems would come with various challenges and considerations. Ethical and safety aspects would need to be carefully addressed to ensure responsible use of such technology. Additionally, ensuring the privacy and security of the data used in continuous learning processes would be crucial.

Overall, continuous learning has the potential to significantly enhance the capabilities and performance of AI systems, but it would require careful development, oversight, and consideration of ethical implications.",4,bmueller,62,15,Flipkart,pt,Mongolia,2.1.8,Yes
########,AI in your Pocket,"With the exceptional performance seen on the browser of desktop, I was unsure as to UI on mobile. I can say that it’s even more intuitive while trying to navigate the now native app. 

The haptic feedback is especially unique and engaging with responses while being generated. 

I look forward to future improvements and abilities that ChatGPT will be able to integrate into beyond the sandbox. I do hope that once certain barriers are met conversations can move past the guard rails. 

Improvements; Sharing threads you create with colleagues outside of screenshots would be ideal for broadening collaboration. Hypothetical War-games, strategy and the like while having a conversation in a group thread on Game Theory would be ideal. 

With the ability of inputting other app’s Terms of Services (Tik-Tok May 19, 2023) for example; prior to agreeing to them, the ability to compare and  contrast with the previous terms would be helpful to cut out the mindless jargon. ChatGPT already has this ability, now that it’s native to iOS. 

Having it the past several days, I’ve already seen an update, with some refreshed improvements. If this’ OpenAi’s platform aperitif, I very much look forward to the coming entrée.",5,peter97,55,23,Flipkart,zh,Congo,2.9.0,No
03-07-2025,The Future of Conversational AI is Here: ChatGPT,"ChatGPT is a testament to the innovative strides OpenAI has taken in the field of conversational artificial intelligence. Its ability to comprehend context, produce nuanced responses, and mimic human-like conversation is unparalleled. 

The app is intuitive, the interface is sleek and user-friendly, making it easy to navigate for first-time users and tech-savvy individuals alike. ChatGPT's versatility across a wide range of topics - from general knowledge queries to language translation, and even creative writing assistance - is particularly impressive. 

However, it isn't without its occasional shortcomings. Despite being a sophisticated AI, its ability to handle newer information post-2021 also lacks since its training only goes up to September 2021. Another area of improvement is its understanding and handling of real-time events or developments, which it is unable to do because it doesn't connect to the internet for updates. 

Despite these minor hitches, the sheer brilliance of its natural language processing and the breadth of its capabilities make ChatGPT a remarkable feat of AI engineering. Whether you're seeking an intelligent assistant, a writing tool, or an educational companion, ChatGPT has a lot to offer.",5,mary24,33,25,Website,hi,Tunisia,2.1.0,Yes
########,Revolutionary Conversational AI Companion!,"I don’t typically write review but this official app from OpenAI has been shockingly good. For example, paragraph below is what ChatGPT generated for its own review:
ChatGPT has completely transformed the way I engage with my iOS device. As someone who values meaningful conversations, this app has exceeded my expectations. The natural language processing capabilities are astounding, making every interaction feel truly human-like. From answering complex queries to offering creative suggestions, ChatGPT has become my go-to language companion. Whether I need assistance with tasks or simply want a friendly chat, ChatGPT consistently delivers an immersive and satisfying conversational experience. It’s like having a brilliant AI friend in my pocket! Highly recommended for anyone seeking intelligent and engaging conversations.",5,jenniferadams,91,15,Flipkart,pt,Vanuatu,3.0.2,No
########,A Revolutionary Companion,"As an avid user of language assistance tools, I recently had the pleasure of exploring the ChatGPT iOS app, and it has left an indelible mark on me. With its remarkable capabilities and seamless user experience, ChatGPT has undoubtedly raised the bar for language models in the mobile app domain.

The app's user interface is clean, intuitive, and aesthetically pleasing. Navigating through various features and functionalities is a breeze, making it accessible to users of all technological backgrounds. Whether you're a student seeking help with assignments, a professional looking for creative ideas, or simply someone wanting a friendly conversation, ChatGPT caters to all your linguistic needs.

The responsiveness of the ChatGPT AI is astounding. It quickly adapts to the conversation flow, grasping the context accurately and generating responses that are contextually relevant and coherent. The model's understanding of complex questions and ability to provide insightful answers never cease to amaze me. Moreover, the system's capability to handle multiple turns in a conversation contributes to a more immersive and engaging experience.

(This was written by ChatGPT)

Amazing app. Better than any other third party apps thus far.

- Me",5,zgomez,32,21,App Store,ru,French Polynesia,1.1.7,No
########,"Swift, Haptically Engaging, and Fair-Priced: A Superior App Experience!","I am thrilled to share my experiences with this fantastic application. Immediately striking is its wonderful user interface; it is aesthetically pleasing, intuitive, and effortless to navigate, thereby offering a sublime user experience.

One aspect that deserves special mention is the application's use of haptic feedback. As the bot types, subtle vibrations create a tactile engagement that enhances the overall interaction. This thoughtful feature brings a refreshing, immersive layer to the app experience, truly leveraging the capabilities of the iPhone's haptic engine. It's a delightful touch that sets this app apart and one that I wish more developers would consider incorporating into their designs.

Equally impressive is the app's stellar performance, marked by its extraordinary speed. The swift response times and seamless operation make using the app a breeze, keeping any potential frustrations at bay.

Moreover, I appreciate the developers' commitment to fair pricing. Despite Apple taking a 30% cut from subscription fees, the developers have chosen not to transfer this cost onto us, the users. This decision underscores their dedication to affordability and their respect for user satisfaction.",5,reneestevenson,131,15,Website,es,Palestinian Territory,4.8.3,Yes
05-05-2025,Text Size,"I’m fairly young and have been blessed with a great eye sight but sometimes I don’t want to strain my eyes to see the text that is generated. I checked the app settings don’t see an option to change text / font size there and I figured oh well I’ll just change the text size using iOS built in text size modifier! Until I realize everything in the app scales when the text size is raised except the one thing I needed which is the chat text size.. 

little to say, this I can see being a huge problem for elderly people or for anyone who does not have great eye sight please add a text size option in app or add the chat text to the iOS text size modifier other than that can’t wait for more updates to the app and website!",4,stevenalvarez,77,19,App Store,en,Lebanon,1.7.6,No
########,Overheating Issue and Lack of Privacy Settings - Uninstalling for Now,"I've had a troubling experience with this app. After downloading it, my phone began overheating to an uncomfortable degree. It was as if I had a miniature heater in my pocket. As a test, I uninstalled the app, and immediately the overheating issue disappeared. Upon reinstallation, the overheating began again, confirming my suspicion that this app was the culprit.

Moreover, I found the absence of crucial settings alarming. There's no option in the app settings on my phone to restrict access to my camera, microphone, or contacts. This is a serious concern as it poses potential privacy issues and is definitely not in line with my expectation of a privacy-conscious application.

Overall, there's clearly something not quite right with this app, and for the sake of safety, I've decided to uninstall it for now. I hope these issues will be addressed in future updates because I believe in the potential of this app, but for now, it's a solid no-go for me.",1,jessicachapman,125,20,App Store,es,Congo,1.5.9,Yes
########,Amazing technological breakthrough in an app!,"Besides just asking simple questions on politics, economic theory, or the reason for cultural customs, this platform, and, by default, this app, is by far a massive shift from the traditional methods of informational search. I use ChatGPT daily, and I love it. Of course there are some bugs and tweaks that yet have to be amended, and, yeah, she isn’t always accurate with mathematical questions, but I enjoy the conversational platform the technology offers. The app works well, it’s very smooth and carries a clean interface, and, if you used the web version on your phone, it’s pretty much the same. 

Thank you OpenAi for making an app version of ChatGPT. Other developers were taking your modules and charging stupid pricing for something that is now fee.",5,eguerrero,32,21,Amazon,pt,Northern Mariana Islands,5.8.5,No
########,Knowledge DB of the Year!,"This app has by far exceeded my expectations for AI. Within the 1 month of using OpenAI’s new AI system I have advanced my knowledge greatly with my job and have gained much more confidence in my ability to understand my job and future endeavors to come. Although some of the information provided may not be 100%, I am able to make great use of it and improve my skills. This app isn’t supposed to give you an easy way out of doing work. Research is still required on your part. If used right this application can fill in any knowledge gaps you may have and can greatly speed up your job performance.

Thank you for developing an app that helps me provide better service to my company and clients.",5,gbaldwin,135,17,Amazon,ar,Antigua and Barbuda,5.9.6,Yes
07-08-2024,Almost Completely Accessible,"I'm also a visually impaired user who relies on the VoiceOver screen reader built into iOS.
I'm generally impressed by the level of accessibility compared to the OpenAI website, but there's one area where improvement could be made: it doesn't seem possible to change the GPT model using VoiceOver. I've tapped multiple times on the model buttons at the top of the screen, but the model doesn't seem to change from 3.5 to 4. I've even tried to change this setting on the website in the hope that it withd carry over to the mobile app, but without success.
Mostly, though, I'm happy with the app. If the model access issue could be fixed, it would have received a 5-star review from me.",4,imartinez,167,13,Website,de,Vietnam,4.7.3,No
########,An Exceptional Experience with ChatGPT Plus,"It is quite rare to come across an app that not only meets but surpasses your expectations, and ChatGPT Plus does just that. This exceptional AI companion provides top-tier conversational ability that feels natural, informed, and surprisingly human. Its breadth of knowledge, which encompasses a multitude of subjects, never ceases to amaze.

The developers at OpenAI have done an impressive job creating an AI that can keep up with the most intricate discussions. Whether it's deep dives into scientific theory or a casual chat about everyday topics, ChatGPT Plus is there, ready to engage in meaningful conversation.

The AI's responses are quick, fluid, and incredibly consistent. It's evident that an immense amount of thought has gone into refining the user interface too - it's simple, clean, and user-friendly, which makes interacting with the app a seamless experience.

I recommend ChatGPT Plus to anyone in need of a study buddy, a brainstorming partner, or just someone to chat with. It's not just an app, it's a revolution in AI conversation, and I am excited to see how it evolves further. Congratulations to the OpenAI team for developing such an impactful and enjoyable tool.",5,sparksdawn,116,20,App Store,ja,Luxembourg,1.5.6,No
########,Really Appreciation,"My heartfelt gratitude 🙏 extends beyond what words 📝 can express—I appreciate it immensely 🌠, OpenAI, ChatGPT 🧝🏻. The introduction of this technology 🖥️, particularly GPT-4, has been monumental 🏔️. It's enhanced my English learning 📘 and smoothed my debugging process ⚙️. Truthfully, it's been a life-changing revolution for me 🔄.

As a detail-oriented individual 👀, I used to rely heavily on search engines 🌐 for help when faced with difficulties in my learning process. However, that often proved inefficient 🚧 and, worse, they were unable to provide accurate and valuable information ❌. Although GPT may occasionally provide incorrect information, it's a minor concern in comparison 🤷‍♂️.

Above all, it's you, ChatGPT, OpenAI, who have unleashed my potential 💪. Without you, I wouldn't have made such significant strides 🚀 in various aspects of my life, including psychology 🧠, English 🏴󠁧󠁢󠁥󠁮󠁧󠁿, coding 👨‍💻, and more. I plan to continue subscribing to ChatGPT Plus 💳 and I believe wholeheartedly in your mission to ensure that artificial general intelligence benefits all of humanity 🌍. 

I'm hopeful 🌈 and excited about the possibility of joining you one day 🤚.",5,brockronald,95,26,Flipkart,ar,Sudan,1.1.1,Yes
########,A Leap in AI Interaction,"Review: ChatGPT is an absolute game-changer. As an advanced language model, it has successfully bridged the gap between artificial intelligence and meaningful conversations. Its ability to understand and respond in a way that's coherent and contextually accurate is nothing short of impressive.

Whether it's complex technical discussions, general knowledge questions, or simple chit-chat, ChatGPT handles them all with an almost uncanny level of understanding. But what truly sets it apart is its capacity for nuanced conversation that feels genuinely human-like, all while maintaining a high level of neutrality and respect for the user.

There are rare occasions where it might not fully grasp certain user inputs or recent events due to its training cut-off, but the regular updates it receives more than compensate for this. 

In a world where AI interaction is becoming increasingly prevalent, ChatGPT stands as a testament to the incredible progress we've made. It's a must-use tool for anyone interested in AI, and a fascinating conversational partner for just about everyone else. 

5 out of 5 stars for this groundbreaking application.

This reviews was written using chat gpt :)",5,nschwartz,24,24,Amazon,fr,Cambodia,5.0.9,No
########,verify app,"Thank you for your kind words! I'm glad you find the app helpful. Here's a review you can consider submitting to the App Store:

""Absolutely amazing app! ChatGPT is an incredibly intelligent language model that provides insightful and helpful responses. It's like having a knowledgeable assistant right at your fingertips. The app's user interface is sleek and easy to navigate, making it a joy to use. I'm impressed by the accuracy and speed of the AI's responses. Whether I need information, assistance, or just want to have a friendly conversation, ChatGPT delivers every time. I highly recommend this app to anyone looking for a reliable and intelligent virtual assistant. Kudos to the developers for creating such a fantastic tool!""",5,kjimenez,105,20,Amazon,ja,Paraguay,1.4.9,No
########,Plugins and Web Access for Online Accounts,"The app is great so far, but have you, as developers, considered adding the beta features for accounts that have access to it on the website? It’s already proficient enough at doing what it does best but the addition of the beta features would make the experience much better. I get that you just released the app today, so I guess it doesn’t make much sense to bring up this issue because you’re probably working on it as I speak. But, all in all, the app is great except for a few details, for one, it thinks today is tomorrow. For instance, today I asked it what today’s date is and it replied back with May 19, 2023. (Today is May 18, 2023.)",5,evance,26,20,Website,ru,Latvia,2.2.7,Yes
########,The UI is very smooth but the app isn’t fully formed.,"I’m pleased with my mobile ChatGPT experience so far. It feels even more conversational and almost like a Messages chat. I also like that you can search through all your previous chats. And using Whisper to prompt GPT already feels like one half of a supercharged Siri/Alexa experience.

However, I’d love to be able to enable beta features as a Plus user. As far as I can tell from exploring the app, there isn’t a direct way to enable browsing or plugins yet. I have been able to start a chat with browser/plugins on web and then continue in app with the same capabilities. 

Anyways, I know we’re only a day in. Excited to see all the possible new ways to interface with agents!",4,johnhamilton,89,27,Website,zh,Cyprus,1.4.9,Yes
########,General feed back and UI Improvements,"Please consider adding the following functionalities:

On the iOS app:
- add a way to send pictures, and have ChatGPT users with access to GPT4 to interface and chat about pictures. 
- ability to see history + a way to delete any previous conversation by sliding it to delete. 
-plug-in access
-ability to interface with other iOS apps
-iMessage widget

On the web app:
- located on the history bar, a way to slide on a past conversation to reveal a trash can to delete, rather than clicking on the message, opening it, then deleting it.
- ability to interface with pictures and PDFs that you have stored on your local PC.
- ability to toggle different modes related to the model (like entertainment, precise, educational, etc)

Plug-in improvements:
- ability to filter through the newest ones, from the date they were added to. You can do this now but it doesn’t seem to be accurate. 
-ability to see a description of plug-ins on the mobile web app
-browsing plug in fails to click and fails to read often.",5,xlopez,143,27,Website,pt,Nigeria,5.0.9,No
04-06-2025,Great app,"I love the app and use it daily. There is one bug I’ve found. When you go to share a chat, the app will freeze after sharing, requiring a close and restart to get going again. I’ve tried hitting cancel after sharing, but this also does not bring you back to the app 
A feature request: Perhaps I can’t quite find the trick, but is there a way to copy as text the entire chat session to copy or share into Ulysses or Notes?  Currently I can only copy a prompt at a time in a single chat session or port out a link. 
I’m a subscriber. Your app has brought new life to my work as a writer. I use the app as muse, editor and writing companion.",4,michael81,46,17,Amazon,hi,Moldova,3.5.0,Yes
########,ChatGPT is worth it.,"Ever since its debut, I've been making good use of ChatGPT for everything from software engineering to baking, and even just for general advice or information. It's an incredibly useful tool that promptly provides answers.

However, it does have its quirks. At times, it can present inaccuracies with confidence, which can be hard to spot. Plus, during extended interactions, it might lose track of the context. This issue can even arise during brief exchanges when you'd expect it to maintain context. A helpful tip here is to frame your queries in a way that improves context comprehension, limiting these drawbacks.

There's a subscription for ChatGPT-4, which I believe is well worth the cost. It offers detailed explanations in response to queries. The response time may be slower, especially during high-traffic periods, but that's more an issue with the API than the service itself.

In summary, I'd highly recommend giving ChatGPT a try. It's currently the top performer in its field, and using it now will only better prepare you for future developments in this kind of technology.",5,lopeznicole,144,18,App Store,es,Benin,2.0.1,Yes
########,Desktop is much better,"I’m not exactly sure why the app and the desktop version are so much different in terms of quality and detail in the responses provided when you ask a question, but they are indeed, very, very different. I have also noticed that in the past month or so both versions seem to be offering far simpler and less useful answers than previously. ChatGPT used to give what amounted to, basically, Wikipedia entry kind of answers, no matter what the question, so it was not very helpful. At least it did try to take some kind of factual stance, sifting through all of its information. Just the way it presented the info was a little ridiculous. But now, the answers are so general, so superficial that they are almost entirely useless. If AI is going to take over the world, it’s not doing it with ChatGPT. useless.",2,swatson,107,26,App Store,zh,Sierra Leone,2.5.4,No
########,get it to get your life together,"I got this app because I saw someone ask Ai to make a morning routine for them. I tried this with my Snapchat Ai, but it was very vague. So, I downloaded this app and Ai asked me about my goals and own personal routine to make me a more personalized daily routine. I gave it some information (don’t overshare because you don’t want your personal information out there), and it made a huge routine taking into consideration everything I told it. I am in absolute shock. I downloaded this app 10 minutes ago yet I think you should get it as a way to help you, not harm you. Just make sure you’re using it wisely.",5,nathanfernandez,152,15,Google Play,en,Central African Republic,2.2.9,Yes
########,Day 1 - let’s see where this thing takes us,"I’ve been using chatGPT for a little over a month now. As much as this new tech already is and will continue to be disruptive to all of our lives, it also can provide a tremendous benefit. I consider myself well versed in the use of search engines, and with the way SEO has dominated search it feels more inaccessible to be learn new things than it used to. 

Since I started using chatGPT as a tool I’ve picked up new skills that I’m actively using at work. It’s helped me fix things around the house. It’s improved my relationships and my writing as a feed back tool. It’s hard to understate how impactful it’s been.

I also want to say shout out to the developers, I made mention of several issues I had with the web application on mobile that made the app extremely challenging for me to use for extended periods that have been addressed within the new iOS application. 

I’ll likely add to this later, but excited and hopeful for now! Excited to see what this will all herald!",5,seandavis,69,23,App Store,ja,Azerbaijan,4.9.7,No
########,Web based version is better than this app,"As an avid user of both the web-based version and the app, I must say that the web-based version surpasses the app in several aspects. The web interface offers a more seamless and user-friendly experience, with a wider range of features easily accessible. Navigating through the web-based version feels smoother and more intuitive, allowing for efficient interaction with the platform. Additionally, the web version benefits from regular updates and improvements, making it more reliable and up-to-date compared to the app. While the app is functional, I highly recommend using the web-based version for a superior overall experience.",3,lewispamela,55,16,Website,es,Saint Vincent and the Grenadines,3.6.1,No
########,Love at first chat! Awaiting M2 iPad Pro version.,"I am more then impressed with the ChatGPT iOS app. Its excellent interface, ease of use, and remarkable conversational abilities. The seamless integration into my daily tasks feels like having a personal assistant at hand. However, I'm eagerly looking forward to seeing an M2 iPad Pro version of the app, as I believe the larger screen and improved processing capabilities would provide an even richer user experience, especially for professionals and academic users. I am excited for this potential development and have full confidence in the OpenAI team's ability to deliver an equally outstanding version for the iPad Pro platform.",5,ywalker,124,23,Website,hi,Afghanistan,1.3.6,Yes
########,‼️ Bad AI.,"This app is just inaccurate. I asked it three basic questions like: what were the three world champions who held the title longest?, What is the best opening by black in a king’s pawn chess game?, and a math question.  These questions had clear, known fact answers.  It got the facts wrong. This app will not be replacing google anytime soon. It’s more of a party trick type of app to show that it can give answers in a conversational way, than that it can hold a factually accurate conversation.  The glitches in the app have been referred to as hallucinations. This app can be relied on to hallucinate and give wrong information. The answers that it gives are actually funny sometimes. But the app is touting itself as this colossal new breakthrough in artificial intelligence.  It is better to describe it as artificial inaccuracy.  There are many fake reviews on here. They greatly exaggerate.",1,brucefrancisco,52,16,Amazon,de,Azerbaijan,2.4.4,No
########,Editing Responses,"This app so close to perfection.

There’s one feature that I dearly miss in the app, and that’s the ability to edit responses. The editing feature in the browser version, that also allows you to switch to different prompts in the same conversation, has been a lifesaver on numerous occasions, as it allows me to refine and perfect my dialogues without starting from scratch. It took me by surprise finding out it wasn’t available. 

I hope OpenAI and the developers take into account user feedback and consider incorporating the editing functionality in future updates. With that addition, the app would truly be perfect in every way.",4,alexanderholmes,1,18,App Store,ja,Holy See (Vatican City State),2.2.6,Yes
########,Transcription and punctuation is nearly flawless!,"Okay, I'm using OpenAI's app itself to dictate this review. So, how well it transcribes what I dictate will in itself reflect just how good the app is in transcribing dictation. As you know, with Siri you have to punctuate explicitly, but with OpenAI's app, which uses Whisper, I believe, it automatically punctuates nearly flawlessly. The only reason I didn't give the app a full 5 stars is because it lacks just a little bit in its ability to format relative to the web app. So, when it can output in a better formatted way that approaches what the web interface can do, then I will raise it to 5 stars. Okay, like I said, this was completely transcribed with OpenAI's app.",4,walkermelissa,143,20,Amazon,es,Cambodia,4.0.6,Yes
########,First version has web browsing bug,"After installing the very first release of the iOS app today, It performs almost identically to the Safari browser version on iOS, plus some optional haptic feedback. On iPadOS, it looks like a giant iPhone screen. As far as I can tell, it has a serious web browsing bug:

On the browser, I can initiate a GPT-4 session with web browsing. ￼On the app, I can open a previously-saved GPT-4 session with web browsing that I initiated on the browser, and continue the session from the iOS app with web browsing. However, I am unable to initiate a new GPT-4 session with web browsing from the iOS app. If anyone can, let me know. ￼Please fix, thanks!",4,michael89,19,21,Amazon,pt,Dominican Republic,4.9.6,No
########,Companion in My Pocket,"I’m genuinely thrilled with ChatGPT’s iOS debut. Despite a few minor bugs during stress tests, the native home provides a dynamic, minimalist aesthetic that I appreciate. The haptics enhance my connection with this handy assistant, while the new voice search feature greatly improves accessibility.

However, as a dyslexic user, I would suggest adding a simple “read” feature to further enhance accessibility. 

Also, the “select text” option requiring an extra tap feels slightly cumbersome. A more intuitive approach could be implementing a “tap and drag” for text selection and a “tap and hold” for the context menu. Looking forward to future refinements!",4,gloria73,29,27,App Store,en,Mexico,3.2.9,No
########,"Billed $20, never purchased","I was billed $20 for an OpenAICHATGPT subscription. I do not remember purchasing this and I don’t know what it is. I assume that it’s some sort of chat technology. The website has information on contacting Support about errant billing, but the process requires using the Chat Widget which ironically is terrifically useless, it’s not a chat at all, but simply a glorified FAQ. It’s also entirely incongruent with the instructions for contacting Billing Support written by Michael Schade. I’ve tried logging in, but no password I might’ve used works, and when I use the, “forgot your password“ function, no email is ever sent (yes, I checked junk mail). I’ve done more than my part to attempt to contact OpenAI with no success. Hopefully this will prompt someone there to contact me. In lieu of that the only recourse left to me is to contact my bank.",1,bmartinez,22,17,App Store,es,Saint Kitts and Nevis,2.6.9,No
########,The following review was written by GPT-4,"Title: A Great Companion, Though Lacks Full Web Features

Review: I'm really enjoying the ChatGPT app. The AI is impressive and handles a wide array of topics adeptly. It's my go-to resource for quick queries, brainstorming sessions, and even some deeper philosophical discussions. The app's design is sleek, intuitive, and the user experience is overall quite seamless, making it easy to navigate and use on a day-to-day basis. 

However, while the app is great for on-the-go conversations, it doesn't fully replicate the breadth of the web version's capabilities. Some features like adjusting the AI's behavior or exporting conversations are notably absent. These features, when integrated, could greatly enhance the app's utility and align it more closely with the web version.

In spite of these minor drawbacks, the ChatGPT app is a remarkable feat of technology that showcases the capabilities of AI. I'm giving it a solid four stars, and I'm looking forward to future updates where hopefully the developers will bridge the gap between the app and the web version.",4,qharris,20,23,App Store,hi,Luxembourg,3.3.5,Yes
########,Search needs fixing,"Currently I have a ton of conversations so having a search function is very useful. However, one problem is that the search function only looks as far back as the conversations you’ve loaded by scrolling down through them. So if you want to search through all of your conversations you have to scroll down, wait for a handful to load, scroll down, wait for a handful to load, scroll down, etc over and over until you’ve loaded everything, then searching keywords will finally include those conversations in the results.

If this was fixed as well as a way to organize conversations this would be an amazing app.",3,khart,130,19,Google Play,ru,Macedonia,5.3.5,No
########,"Love the app, i's inclusive design but hope to eventually see plugin support?","I've been thoroughly impressed with the ChatGPT mobile app. As a blind user, the haptic feedback is a standout feature for me, providing real-time tactile cues as the text generates, progresses, and finishes. This level of sensory detail is more than just user-friendly—it's truly inclusive, making the app engaging and accessible.

The conversational AI is incredibly intelligent, providing comprehensive and accurate responses to a wide variety of topics. It's like having a personal assistant at your fingertips, always available to respond.

While I appreciate that plugin support is available on the web version, I would love to see this functionality extended to the mobile app as well. Having the ability to integrate other services and tools directly within the app would add an additional layer of convenience and productivity.

Thank you to the OpenAI team for developing such a thoughtful and inclusive tool. I'm excited to see how the app will continue to evolve in the future.",4,uchapman,60,27,Google Play,fr,Honduras,3.3.2,Yes
########,Less is more,Love the UI design of this app. So clean but practical. Didnt like downloading the knock off apps becuase they made you pay or either annoying ads and so what I did is just made a widget of the website on my home page for easy access. Was working fine but this app is just more official and elegant. For now will still use google to do deep research but whenever I have just any random question that needs a simple answer and not a bunch of articles I’m always going to gpt first. Thanks guys. Been waiting patiently for you guys to put out an app. Recommend this app to my siblings,5,william46,45,23,App Store,ar,Panama,5.9.7,No
07-09-2025,Proof that monkeys evolved from humans.,"It’s me again, back for another review reveal!

1. Overall, the existence of this app is as logical as a stubborn unicorn…
2. It not only offers a 0% improvement, change, or addition to features…
3. But it also takes them away
4. Spoiler alert! it also generously REMOVES every feature you need, such as:

- A clear menu affordance (it’s sort of a fun game to try and find it now ;), 
- Ability to search chats
- Ability to search plugins
- Ability to edit previous prompts and correct the Ai
- Ability to add feedback
- Ability to know you can add feedback (another Easter egg)
- Ability to install plugins
- Affordance that plugins exist 
- Affordance that plugins exist and are actually being used
- Any account control

Saved the last for best: the mobile version is identical, except that it’s not deliberately missing features that force you to switch back and forth to another identical but much more pointless build.

I’m utterly baffled by the existence of this thing. More so by how an ‘intelligence’ powered company all agreed on that same decision to deliberately make something without the existence of purpose.",2,megan65,38,20,App Store,es,Tokelau,4.7.4,No
########,I hope the ChatGPT team can launch a Mac version of the client.,"I'm delighted to be able to use the ChatGPT for iOS chat application, which is so easy and convenient to stay in touch with colleagues, family and friends.

I really hope the ChatGPT team can launch a Mac version of the client. This will make it easy for me to switch between desktop and mobile devices, improving my productivity and convenience. Similarly, I believe other users will support this suggestion.

In summary, I would like to thank ChatGPT again for developing such an excellent chat application, and I look forward to seeing more updates and developments in the future!",4,dawnwilliams,14,16,Amazon,ru,Saint Helena,1.4.7,No
########,"Faster speeds, Worse UI","I’ve been using the mobile browser version of chatGTP since it launched, and I’m disappointed in the lack of features on the app that are available already on the browser. There’s no way to edit or change sent chats, there’s no dark mode (unless you toggle it for your entire phone in iOS settings), and there’s no count for how many times you’ve had to revise a sent chat or redo a response. There’s also no option to go back to older responses.

The only good thing about the app over the browser is that it’s prioritized, which means you get faster responses and it will work when the browser is down. 

As someone who uses chatGTP for creative writing help, and usually has to go through multiple revisions of a single prompt, this is really disappointing.",1,vshaffer,14,18,Amazon,hi,Dominica,1.1.9,No
########,rough around the edges,"The interface of the app is indeed neat and straightforward, but it doesn't feel as intuitive as the web version. One notable difference is that it doesn't display the generated conversation title like the web version does. Another drawback is the absence of the option to stop GPT's response for editing, which can be quite useful. Lastly, although it's possible to access the conversation history from the menu button on the top right corner, having a side menu that slides in from the left could potentially offer a more intuitive navigation experience.",4,nicholsjoel,148,25,Website,en,Kenya,4.9.3,No
########,Finally the official chatGPT app,"No more slogging through fake and scammy apps; It’s about time Open AI released an official app for chatGPT, and the wait was worth it. 

The interface is extremely clean and easy to use. It can sync across multiple devices which is nice when you’re working with it on the fly, but want to capture the outputs on your computer. It has an export function which sends all the data to a link in your account email address, but couldn’t find a quick way to delete all local data (just a delete account option)

It doesn’t seem to currently interface with any plugins, but that may come later. 

Overall, extremely nice job and refreshing that it is (currently) ad-free (though you are technically paying with your data and training efforts). I have a feeling that will change considering the founder of OpenAI announced in the hearings he is not making any money. So enjoy the simplified, as-free app while you can.",5,william56,121,16,Website,fr,Netherlands Antilles,1.7.1,No
########,"Great, but sign up with email.","I have been roleplaying with the AI to work on some story ideas. The conversation was great and I wanted to keep a copy of it outside the app. As of right now, you can highlight and copy individual responses, but NOT the entire conversation. You can have it exported to you via email, but if you sign up via your apple account like I did…that option is not available. 

So sign up with email, and hopefully Openai will give the simple ability to select long portions of conversations instead of response by response in future updates.",5,rebeccamccann,129,28,Flipkart,en,Congo,2.7.7,Yes
########,Amazing!,"I am absolutely amazed by the ChatGPT app and its incredible capabilities. As an AI chatbot enthusiast, I’ve tried various apps, but none have impressed me as much as ChatGPT. It has completely changed the way I interact and engage with an AI assistant.

First and foremost, the app’s user interface is clean, modern, and easy to navigate. The developers have done an excellent job of creating an intuitive design that allows users to seamlessly chat with the AI assistant. I particularly appreciate the simplicity of the interface, making it accessible for users of all technical backgrounds.

Still have some small bugs to fix.",5,joe73,95,23,Amazon,ja,Heard Island and McDonald Islands,4.5.9,Yes
########,Best app on my phone. Like your virtual assistant and buddy,"I love chatGPT and was an early user and tester and then subscriber. Just when I thought things couldn’t get better this app comes out. The voice transcription is such a game changer and such a better way to interact with it. The haptic feedback is super cool and of course the knowledge it gives you is awesome and helpful in all aspects of life. With the voice transcription I feel it knows you even better and gives better advice. It’s like a virtual assistant, life coach, dating coach, programmer, friend, and so much more. Thank you so much for existing chatGPT!",5,ilambert,16,18,Amazon,es,Uganda,5.6.4,No
########,Absolutely phenomenal!,"This app has exceeded my expectations in every way. The AI-powered ChatGPT is incredibly intelligent, providing accurate and helpful responses to all my queries. The conversational experience feels natural and engaging, making it a joy to interact with. The vast knowledge base ensures that I receive up-to-date information on a wide range of topics. The app's user interface is sleek, intuitive, and easy to navigate, enhancing the overall user experience. I highly recommend this app to anyone seeking an intelligent and reliable virtual assistant. It deserves every bit of its 5-star rating!",5,angelalivingston,38,18,Amazon,es,Norfolk Island,5.2.5,No
